Date,Market,Market Size,Product,Product Type,State,Type,Area Code,Budget COGS,Budget Margin,Budget Profit,Budget Sales,COGS,Inventory,Margin,Marketing,Profit,Sales,Total Expenses
2012/1/1 上午 12:00:00,East,Major Market,Lemon,Herbal Tea,Florida,Decaf,239,40,50,20,90,54,312,66,20,13,120,53
2012/1/1 上午 12:00:00,East,Major Market,Mint,Herbal Tea,Florida,Decaf,772,50,60,40,110,69,965,81,21,39,150,42
2012/1/1 上午 12:00:00,East,Major Market,Darjeeling,Tea,Massachusetts,Regular,508,30,50,40,80,32,821,48,8,29,80,19
2012/1/1 上午 12:00:00,East,Major Market,Green Tea,Tea,Massachusetts,Regular,781,30,50,40,80,32,456,48,8,29,80,19
2012/1/1 上午 12:00:00,East,Major Market,Regular Espresso,Espresso,Massachusetts,Regular,978,160,170,110,330,170,"1,091",171,47,100,341,71
2012/1/1 上午 12:00:00,East,Major Market,Caffe Mocha,Espresso,Massachusetts,Regular,781,60,60,-10,120,63,435,63,57,-23,126,86
2012/1/1 上午 12:00:00,East,Major Market,Colombian,Coffee,Massachusetts,Regular,413,60,400,360,460,72,558,422,23,367,494,55
2012/1/1 上午 12:00:00,East,Major Market,Lemon,Herbal Tea,Massachusetts,Decaf,339,40,60,30,100,58,338,72,22,17,130,55
2012/1/1 上午 12:00:00,East,Small Market,Darjeeling,Tea,New Hampshire,Regular,603,10,30,20,40,18,821,27,5,10,45,17
2012/1/1 上午 12:00:00,East,Small Market,Green Tea,Tea,New Hampshire,Regular,603,10,30,20,40,17,777,26,4,11,43,15
2012/1/1 上午 12:00:00,East,Small Market,Regular Espresso,Espresso,New Hampshire,Regular,603,20,40,0,60,29,169,36,11,-8,65,44
2012/1/1 上午 12:00:00,East,Small Market,Caffe Mocha,Espresso,New Hampshire,Regular,603,30,50,0,80,37,261,53,34,-10,90,63
2012/1/1 上午 12:00:00,East,Small Market,Amaretto,Coffee,New Hampshire,Regular,603,30,50,30,80,38,241,55,12,20,93,35
2012/1/1 上午 12:00:00,East,Small Market,Colombian,Coffee,New Hampshire,Regular,603,40,70,40,110,48,372,72,15,25,120,47
2012/1/1 上午 12:00:00,East,Small Market,Lemon,Herbal Tea,New Hampshire,Decaf,603,20,30,0,50,34,197,42,12,-4,76,46
2012/1/1 上午 12:00:00,East,Major Market,Darjeeling,Tea,New York,Regular,347,100,150,120,250,95,821,139,26,101,234,38
2012/1/1 上午 12:00:00,East,Major Market,Earl Grey,Tea,New York,Regular,646,90,140,110,230,89,777,130,24,94,219,36
2012/1/1 上午 12:00:00,East,Major Market,Green Tea,Tea,New York,Regular,347,50,90,70,140,54,456,80,15,54,134,26
2012/1/1 上午 12:00:00,East,Major Market,Regular Espresso,Espresso,New York,Regular,631,210,270,200,480,228,"1,459",262,63,175,490,87
2012/1/1 上午 12:00:00,East,Major Market,Caffe Mocha,Espresso,New York,Regular,315,100,-50,-170,50,105,725,-44,95,-172,61,128
2012/1/1 上午 12:00:00,East,Major Market,Colombian,Coffee,New York,Regular,716,260,380,260,640,271,"2,101",407,94,262,678,145
2012/1/1 上午 12:00:00,East,Major Market,Lemon,Herbal Tea,New York,Decaf,607,180,190,100,370,245,"1,419",238,93,111,483,127
2012/1/1 上午 12:00:00,East,Major Market,Mint,Herbal Tea,New York,Decaf,845,150,-10,-70,140,207,965,-27,64,-113,180,86
2012/1/1 上午 12:00:00,South,Small Market,Caffe Mocha,Espresso,Louisiana,Regular,337,50,100,80,150,67,400,113,20,70,180,43
2012/1/1 上午 12:00:00,South,Small Market,Decaf Espresso,Espresso,Louisiana,Decaf,337,50,70,50,120,61,390,89,19,48,150,41
2012/1/1 上午 12:00:00,South,Small Market,Chamomile,Herbal Tea,Louisiana,Decaf,337,40,60,40,100,49,623,63,16,35,112,28
2012/1/1 上午 12:00:00,South,Small Market,Lemon,Herbal Tea,Louisiana,Decaf,504,80,100,40,180,85,494,105,32,40,190,65
2012/1/1 上午 12:00:00,South,Small Market,Caffe Latte,Espresso,Louisiana,Regular,504,60,90,10,150,75,522,105,68,8,180,97
2012/1/1 上午 12:00:00,South,Small Market,Colombian,Coffee,Louisiana,Regular,225,40,60,50,100,34,777,51,9,30,85,21
2012/1/1 上午 12:00:00,South,Small Market,Decaf Irish Cream,Coffee,Louisiana,Decaf,985,40,60,50,100,33,777,48,9,28,81,20
2012/1/1 上午 12:00:00,South,Small Market,Caffe Mocha,Espresso,New Mexico,Regular,505,30,40,-10,70,37,261,53,34,-10,90,63
2012/1/1 上午 12:00:00,South,Small Market,Decaf Espresso,Espresso,New Mexico,Decaf,505,30,40,10,70,35,196,47,11,9,82,38
2012/1/1 上午 12:00:00,South,Small Market,Chamomile,Herbal Tea,New Mexico,Decaf,505,10,30,20,40,18,821,27,5,11,45,16
2012/1/1 上午 12:00:00,South,Small Market,Lemon,Herbal Tea,New Mexico,Decaf,505,20,40,20,60,28,965,34,8,4,62,30
2012/1/1 上午 12:00:00,South,Small Market,Caffe Latte,Espresso,New Mexico,Regular,505,20,30,0,50,29,169,36,11,-8,65,44
2012/1/1 上午 12:00:00,South,Small Market,Colombian,Coffee,New Mexico,Regular,505,60,90,50,150,48,372,72,15,26,120,46
2012/1/1 上午 12:00:00,South,Small Market,Decaf Irish Cream,Coffee,New Mexico,Decaf,505,110,10,-30,120,88,525,11,27,-39,99,50
2012/1/1 上午 12:00:00,South,Small Market,Caffe Mocha,Espresso,Oklahoma,Regular,405,20,40,40,60,32,456,48,8,28,80,20
2012/1/1 上午 12:00:00,South,Small Market,Decaf Espresso,Espresso,Oklahoma,Decaf,405,70,110,70,180,84,651,126,27,67,210,59
2012/1/1 上午 12:00:00,South,Small Market,Chamomile,Herbal Tea,Oklahoma,Decaf,918,50,60,20,110,54,312,66,20,13,120,53
2012/1/1 上午 12:00:00,South,Small Market,Lemon,Herbal Tea,Oklahoma,Decaf,580,70,110,30,180,79,551,111,72,10,190,101
2012/1/1 上午 12:00:00,South,Small Market,Caffe Latte,Espresso,Oklahoma,Regular,405,70,100,70,170,84,500,116,26,66,200,50
2012/1/1 上午 12:00:00,South,Small Market,Colombian,Coffee,Oklahoma,Regular,580,50,70,50,120,44,623,56,14,29,100,27
2012/1/1 上午 12:00:00,South,Small Market,Decaf Irish Cream,Coffee,Oklahoma,Decaf,580,40,60,50,100,32,821,48,8,28,80,20
2012/1/1 上午 12:00:00,South,Major Market,Caffe Mocha,Espresso,Texas,Regular,325,70,110,90,180,89,777,130,24,95,219,35
2012/1/1 上午 12:00:00,South,Major Market,Decaf Espresso,Espresso,Texas,Decaf,956,40,70,60,110,54,456,80,15,54,134,26
2012/1/1 上午 12:00:00,South,Major Market,Chamomile,Herbal Tea,Texas,Decaf,281,50,80,50,130,60,336,80,19,33,140,47
2012/1/1 上午 12:00:00,South,Major Market,Lemon,Herbal Tea,Texas,Decaf,254,50,80,50,130,57,364,83,18,42,140,41
2012/1/1 上午 12:00:00,South,Major Market,Caffe Latte,Espresso,Texas,Regular,830,60,90,50,150,72,558,108,23,53,180,55
2012/1/1 上午 12:00:00,South,Major Market,Colombian,Coffee,Texas,Regular,409,260,300,220,560,207,965,245,64,159,452,86
2012/1/1 上午 12:00:00,South,Major Market,Decaf Irish Cream,Coffee,Texas,Decaf,325,100,130,100,230,83,623,107,27,68,190,39
2012/1/1 上午 12:00:00,West,Small Market,Caffe Latte,Espresso,Utah,Regular,435,40,60,40,100,46,777,68,12,44,114,24
2012/1/1 上午 12:00:00,West,Small Market,Caffe Mocha,Espresso,Utah,Regular,435,40,60,40,100,49,623,63,16,34,112,29
2012/1/1 上午 12:00:00,West,Small Market,Decaf Espresso,Espresso,Utah,Decaf,435,40,70,50,110,50,821,73,14,47,123,26
2012/1/1 上午 12:00:00,West,Small Market,Chamomile,Herbal Tea,Utah,Decaf,801,30,50,30,80,38,241,55,12,21,93,34
2012/1/1 上午 12:00:00,West,Small Market,Lemon,Herbal Tea,Utah,Decaf,435,40,60,30,100,48,372,72,15,25,120,47
2012/1/1 上午 12:00:00,West,Small Market,Mint,Herbal Tea,Utah,Decaf,435,70,10,-30,80,88,525,11,27,-40,99,51
2012/1/1 上午 12:00:00,West,Small Market,Darjeeling,Tea,Utah,Regular,435,20,40,0,60,37,261,53,34,-10,90,63
2012/1/1 上午 12:00:00,West,Small Market,Earl Grey,Tea,Utah,Regular,435,20,30,10,50,35,196,47,11,9,82,38
2012/1/1 上午 12:00:00,West,Small Market,Green Tea,Tea,Utah,Regular,435,10,30,10,40,29,169,36,11,-9,65,45
2012/1/1 上午 12:00:00,West,Small Market,Amaretto,Coffee,Utah,Regular,801,90,120,80,210,78,965,92,24,47,170,45
2012/1/1 上午 12:00:00,West,Small Market,Colombian,Coffee,Utah,Regular,435,60,100,70,160,55,312,75,18,30,130,45
2012/1/1 上午 12:00:00,West,Small Market,Decaf Irish Cream,Coffee,Utah,Decaf,801,100,130,70,230,85,494,105,32,39,190,66
2012/1/1 上午 12:00:00,West,Major Market,Caffe Latte,Espresso,California,Regular,661,210,220,150,430,228,"1,459",228,63,140,456,88
2012/1/1 上午 12:00:00,West,Major Market,Caffe Mocha,Espresso,California,Regular,818,100,140,20,240,105,725,145,95,17,250,128
2012/1/1 上午 12:00:00,West,Major Market,Decaf Espresso,Espresso,California,Decaf,213,220,300,200,520,234,"1,310",312,77,203,546,109
2012/1/1 上午 12:00:00,West,Major Market,Chamomile,Herbal Tea,California,Decaf,510,80,120,100,200,95,821,139,26,102,234,37
2012/1/1 上午 12:00:00,West,Major Market,Lemon,Herbal Tea,California,Decaf,310,170,220,160,390,207,965,245,64,160,452,85
2012/1/1 上午 12:00:00,West,Major Market,Mint,Herbal Tea,California,Decaf,707,70,90,60,160,83,623,107,27,67,190,40
2012/1/1 上午 12:00:00,West,Major Market,Darjeeling,Tea,California,Regular,619,50,90,80,140,89,777,130,24,94,219,36
2012/1/1 上午 12:00:00,West,Major Market,Earl Grey,Tea,California,Regular,650,30,60,60,90,54,456,80,15,54,134,26
2012/1/1 上午 12:00:00,West,Major Market,Green Tea,Tea,California,Regular,760,40,80,50,120,72,558,108,23,54,180,54
2012/1/1 上午 12:00:00,West,Major Market,Amaretto,Coffee,California,Regular,916,110,70,30,180,95,608,50,30,-2,145,52
2012/1/1 上午 12:00:00,West,Major Market,Colombian,Coffee,California,Regular,559,340,500,370,840,271,"2,101",407,94,262,678,145
2012/1/1 上午 12:00:00,West,Major Market,Decaf Irish Cream,Coffee,California,Decaf,650,180,-40,-120,140,144,862,-26,47,-117,118,91
2012/1/1 上午 12:00:00,West,Small Market,Caffe Latte,Espresso,Nevada,Regular,775,10,30,20,40,17,777,26,4,11,43,15
2012/1/1 上午 12:00:00,West,Small Market,Caffe Mocha,Espresso,Nevada,Regular,702,10,30,20,40,18,821,27,5,10,45,17
2012/1/1 上午 12:00:00,West,Small Market,Decaf Espresso,Espresso,Nevada,Decaf,775,10,30,20,40,17,777,26,4,11,43,15
2012/1/1 上午 12:00:00,West,Small Market,Decaf Irish Cream,Coffee,Nevada,Decaf,775,30,40,20,70,28,965,34,8,4,62,30
2012/1/1 上午 12:00:00,West,Small Market,Chamomile,Herbal Tea,Nevada,Decaf,702,90,130,30,220,105,725,145,95,16,250,129
2012/1/1 上午 12:00:00,West,Small Market,Lemon,Herbal Tea,Nevada,Decaf,775,120,180,120,300,144,862,201,47,111,345,90
2012/1/1 上午 12:00:00,West,Small Market,Mint,Herbal Tea,Nevada,Decaf,702,80,120,90,200,95,608,139,30,86,234,53
2012/1/1 上午 12:00:00,West,Small Market,Darjeeling,Tea,Nevada,Regular,775,150,220,150,370,234,"1,310",312,77,203,546,109
2012/1/1 上午 12:00:00,West,Small Market,Earl Grey,Tea,Nevada,Regular,775,150,160,100,310,228,"1,459",228,63,141,456,87
2012/1/1 上午 12:00:00,West,Small Market,Green Tea,Tea,Nevada,Regular,702,160,-160,-240,0,245,"1,419",-245,93,-354,17,126
2012/1/1 上午 12:00:00,West,Small Market,Colombian,Coffee,Nevada,Regular,702,40,50,10,90,34,197,42,12,-3,76,45
2012/1/1 上午 12:00:00,West,Small Market,Caffe Latte,Espresso,Oregon,Regular,503,50,70,20,120,58,338,72,22,16,130,56
2012/1/1 上午 12:00:00,West,Small Market,Caffe Mocha,Espresso,Oregon,Regular,503,50,80,50,130,60,336,80,19,33,140,47
2012/1/1 上午 12:00:00,West,Small Market,Decaf Espresso,Espresso,Oregon,Decaf,971,160,160,100,320,170,"1,091",171,47,99,341,72
2012/1/1 上午 12:00:00,West,Small Market,Decaf Irish Cream,Coffee,Oregon,Decaf,971,70,100,70,170,57,364,83,18,42,140,41
2012/1/1 上午 12:00:00,West,Small Market,Chamomile,Herbal Tea,Oregon,Decaf,971,30,40,40,70,36,777,54,10,33,90,21
2012/1/1 上午 12:00:00,West,Small Market,Lemon,Herbal Tea,Oregon,Decaf,503,30,50,30,80,44,623,56,14,29,100,27
2012/1/1 上午 12:00:00,West,Small Market,Darjeeling,Tea,Oregon,Regular,971,20,30,30,50,32,456,48,8,28,80,20
2012/1/1 上午 12:00:00,West,Small Market,Earl Grey,Tea,Oregon,Regular,503,50,90,60,140,84,651,126,27,68,210,58
2012/1/1 上午 12:00:00,West,Small Market,Green Tea,Tea,Oregon,Regular,541,50,80,50,130,84,500,116,26,67,200,49
2012/1/1 上午 12:00:00,West,Small Market,Amaretto,Coffee,Oregon,Regular,541,70,110,40,180,63,435,87,57,1,150,86
2012/1/1 上午 12:00:00,West,Small Market,Colombian,Coffee,Oregon,Regular,503,80,120,60,200,67,400,93,22,28,160,65
2012/1/1 上午 12:00:00,West,Small Market,Caffe Latte,Espresso,Washington,Regular,425,40,60,40,100,48,623,62,15,35,110,27
2012/1/1 上午 12:00:00,West,Small Market,Caffe Mocha,Espresso,Washington,Regular,253,50,60,20,110,54,312,66,20,13,120,53
2012/1/1 上午 12:00:00,West,Small Market,Decaf Espresso,Espresso,Washington,Decaf,206,60,80,60,140,69,965,81,21,39,150,42
2012/1/1 上午 12:00:00,West,Small Market,Decaf Irish Cream,Coffee,Washington,Decaf,509,90,140,60,230,79,551,111,72,9,190,102
2012/1/1 上午 12:00:00,West,Small Market,Chamomile,Herbal Tea,Washington,Decaf,206,100,170,120,270,124,961,186,40,115,310,71
2012/1/1 上午 12:00:00,West,Small Market,Lemon,Herbal Tea,Washington,Decaf,360,20,50,50,70,34,777,51,9,30,85,21
2012/1/1 上午 12:00:00,West,Small Market,Darjeeling,Tea,Washington,Regular,360,40,80,50,120,67,400,113,20,70,180,43
2012/1/1 上午 12:00:00,West,Small Market,Earl Grey,Tea,Washington,Regular,253,40,60,40,100,61,390,89,19,48,150,41
2012/1/1 上午 12:00:00,West,Small Market,Green Tea,Tea,Washington,Regular,360,40,80,20,120,75,522,105,68,8,180,97
2012/1/1 上午 12:00:00,West,Small Market,Colombian,Coffee,Washington,Regular,206,60,100,70,160,53,338,77,16,38,130,39
2012/2/1 上午 12:00:00,Central,Major Market,Amaretto,Coffee,Colorado,Regular,303,100,150,120,250,99,766,144,27,105,243,39
2012/2/1 上午 12:00:00,Central,Major Market,Colombian,Coffee,Colorado,Regular,720,80,110,80,190,83,613,107,27,68,190,39
2012/2/1 上午 12:00:00,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,719,100,140,110,240,95,809,137,26,99,232,38
2012/2/1 上午 12:00:00,Central,Major Market,Green Tea,Tea,Colorado,Regular,970,30,50,30,80,44,618,56,14,30,100,26
2012/2/1 上午 12:00:00,Central,Major Market,Caffe Mocha,Espresso,Colorado,Regular,970,80,140,110,220,77,449,112,21,80,189,32
2012/2/1 上午 12:00:00,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,303,80,140,90,220,75,549,114,24,59,189,55
2012/2/1 上午 12:00:00,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,970,140,150,100,290,170,"1,073",170,47,99,340,71
2012/2/1 上午 12:00:00,Central,Major Market,Lemon,Herbal Tea,Colorado,Decaf,970,40,70,10,110,54,427,75,49,-3,129,78
2012/2/1 上午 12:00:00,Central,Major Market,Mint,Herbal Tea,Colorado,Decaf,303,50,70,40,120,60,329,80,19,33,140,47
2012/2/1 上午 12:00:00,Central,Major Market,Darjeeling,Tea,Colorado,Regular,719,50,60,10,110,59,331,73,22,18,132,55
2012/2/1 上午 12:00:00,Central,Major Market,Earl Grey,Tea,Colorado,Regular,720,50,60,30,110,62,958,74,19,34,136,40
2012/2/1 上午 12:00:00,Central,Major Market,Colombian,Coffee,Illinois,Regular,312,150,220,140,370,148,844,206,48,115,354,91
2012/2/1 上午 12:00:00,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,847,110,150,100,260,104,596,150,33,95,254,55
2012/2/1 上午 12:00:00,Central,Major Market,Caffe Mocha,Espresso,Illinois,Regular,708,270,370,260,640,234,"1,282",311,77,201,545,110
2012/2/1 上午 12:00:00,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,312,260,270,180,530,228,"1,436",229,63,142,457,87
2012/2/1 上午 12:00:00,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,815,80,130,110,210,99,766,144,27,105,243,39
2012/2/1 上午 12:00:00,Central,Major Market,Lemon,Herbal Tea,Illinois,Decaf,773,70,90,60,160,83,613,107,27,68,190,39
2012/2/1 上午 12:00:00,Central,Major Market,Mint,Herbal Tea,Illinois,Decaf,847,80,120,100,200,95,809,137,26,99,232,38
2012/2/1 上午 12:00:00,Central,Major Market,Darjeeling,Tea,Illinois,Regular,309,60,100,80,160,77,449,112,21,79,189,33
2012/2/1 上午 12:00:00,Central,Major Market,Earl Grey,Tea,Illinois,Regular,630,60,100,50,160,75,549,114,24,59,189,55
